GEO_ID,STATE,COUNTY,TRACT,NAME,WATER_TRACT,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
1400000US12086008416,12,86,8416,"Census Tract 84.16, Miami-Dade County, Florida",,3804,1177,423,30.94,11.12,1611,487,42.35,12.8,1016,442,26.71,11.62
1400000US12086008418,12,86,8418,"Census Tract 84.18, Miami-Dade County, Florida",,2802,966,367,34.48,13.1,1184,423,42.26,15.1,652,378,23.27,13.49
1400000US12086008419,12,86,8419,"Census Tract 84.19, Miami-Dade County, Florida",,5094,1367,688,26.84,13.51,2333,796,45.8,15.63,1394,712,27.37,13.98
1400000US12086008420,12,86,8420,"Census Tract 84.20, Miami-Dade County, Florida",,1668,495,224,29.68,13.43,518,248,31.06,14.87,655,215,39.27,12.89
1400000US12086008421,12,86,8421,"Census Tract 84.21, Miami-Dade County, Florida",,4260,853,484,20.02,11.36,2355,555,55.28,13.03,1052,494,24.69,11.6
1400000US12086008422,12,86,8422,"Census Tract 84.22, Miami-Dade County, Florida",,2799,711,381,25.4,13.61,1495,440,53.41,15.72,593,394,21.19,14.08
1400000US12086008423,12,86,8423,"Census Tract 84.23, Miami-Dade County, Florida",,4482,1589,536,35.45,11.96,2066,620,46.1,13.83,827,553,18.45,12.34
1400000US12086008424,12,86,8424,"Census Tract 84.24, Miami-Dade County, Florida",,3646,708,394,19.42,10.81,1861,469,51.04,12.86,1077,434,29.54,11.9
1400000US12086008425,12,86,8425,"Census Tract 84.25, Miami-Dade County, Florida",,2057,420,245,20.42,11.91,1152,284,56,13.81,485,257,23.58,12.49
1400000US12086008426,12,86,8426,"Census Tract 84.26, Miami-Dade County, Florida",,4597,1794,484,39.03,10.53,2134,545,46.42,11.86,669,475,14.55,10.33
1400000US12086008427,12,86,8427,"Census Tract 84.27, Miami-Dade County, Florida",,2420,946,299,39.09,12.36,1054,334,43.55,13.8,420,293,17.36,12.11
1400000US12086008428,12,86,8428,"Census Tract 84.28, Miami-Dade County, Florida",,2836,1100,355,38.79,12.52,1288,398,45.42,14.03,448,343,15.8,12.09
1400000US12086008429,12,86,8429,"Census Tract 84.29, Miami-Dade County, Florida",,3552,1387,422,39.05,11.88,1546,484,43.52,13.63,619,429,17.43,12.08
1400000US12086008430,12,86,8430,"Census Tract 84.30, Miami-Dade County, Florida",,5335,621,675,11.64,12.65,2473,786,46.35,14.73,2241,700,42.01,13.12
1400000US12086008431,12,86,8431,"Census Tract 84.31, Miami-Dade County, Florida",,2616,344,235,13.15,8.98,1200,325,45.87,12.42,1072,323,40.98,12.35
1400000US12086008502,12,86,8502,"Census Tract 85.02, Miami-Dade County, Florida",,4457,978,485,21.94,10.88,2614,572,58.65,12.83,865,521,19.41,11.69
1400000US12086008503,12,86,8503,"Census Tract 85.03, Miami-Dade County, Florida",,3476,1108,399,31.88,11.48,1483,480,42.66,13.81,885,445,25.46,12.8
1400000US12086008504,12,86,8504,"Census Tract 85.04, Miami-Dade County, Florida",,2948,1348,330,45.73,11.19,1100,392,37.31,13.3,500,357,16.96,12.11
1400000US12086008601,12,86,8601,"Census Tract 86.01, Miami-Dade County, Florida",,4915,1122,572,22.83,11.64,2295,686,46.69,13.96,1498,632,30.48,12.86
1400000US12086008603,12,86,8603,"Census Tract 86.03, Miami-Dade County, Florida",,4311,1220,466,28.3,10.81,2301,549,53.38,12.73,790,499,18.33,11.58
1400000US12086008604,12,86,8604,"Census Tract 86.04, Miami-Dade County, Florida",,1896,270,228,14.24,12.03,1161,270,61.23,14.24,465,246,24.53,12.97
1400000US12086008702,12,86,8702,"Census Tract 87.02, Miami-Dade County, Florida",,5532,810,628,14.64,11.35,2371,748,42.86,13.52,2351,685,42.5,12.38
1400000US12086008703,12,86,8703,"Census Tract 87.03, Miami-Dade County, Florida",,2590,349,320,13.47,12.36,1396,384,53.9,14.83,845,350,32.63,13.51
1400000US12086008704,12,86,8704,"Census Tract 87.04, Miami-Dade County, Florida",,3304,1149,383,34.78,11.59,1533,452,46.4,13.68,622,414,18.83,12.53
1400000US12086008805,12,86,8805,"Census Tract 88.05, Miami-Dade County, Florida",,5007,885,540,17.68,10.78,2324,655,46.42,13.08,1798,604,35.91,12.06
1400000US12086008806,12,86,8806,"Census Tract 88.06, Miami-Dade County, Florida",,3909,920,443,23.54,11.33,1986,540,50.81,13.81,1003,503,25.66,12.87
1400000US12086008807,12,86,8807,"Census Tract 88.07, Miami-Dade County, Florida",,3512,1257,399,35.79,11.36,1547,490,44.05,13.95,708,461,20.16,13.13
1400000US12086008808,12,86,8808,"Census Tract 88.08, Miami-Dade County, Florida",,3939,1468,470,37.27,11.93,1641,570,41.66,14.47,830,528,21.07,13.4
1400000US12086008809,12,86,8809,"Census Tract 88.09, Miami-Dade County, Florida",,2801,757,321,27.03,11.46,1466,391,52.34,13.96,578,366,20.64,13.07
1400000US12086008810,12,86,8810,"Census Tract 88.10, Miami-Dade County, Florida",,3915,782,427,19.97,10.91,2359,516,60.26,13.18,774,478,19.77,12.21
1400000US12086008904,12,86,8904,"Census Tract 89.04, Miami-Dade County, Florida",,445,122,79,27.42,17.75,264,82,59.33,18.43,59,61,13.26,13.71
1400000US12086008906,12,86,8906,"Census Tract 89.06, Miami-Dade County, Florida",,5498,933,586,16.97,10.66,2687,705,48.87,12.82,1878,650,34.16,11.82
1400000US12086008907,12,86,8907,"Census Tract 89.07, Miami-Dade County, Florida",,4626,1061,542,22.94,11.72,2372,642,51.28,13.88,1193,592,25.79,12.8
1400000US12086008908,12,86,8908,"Census Tract 89.08, Miami-Dade County, Florida",,3309,788,425,23.81,12.84,1501,524,45.36,15.84,1020,492,30.83,14.87
1400000US12086008909,12,86,8909,"Census Tract 89.09, Miami-Dade County, Florida",,4012,1675,434,41.75,10.82,1127,526,28.09,13.11,1210,488,30.16,12.16
